playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
aardsda01,"David Aardsma",USA,4500000,SFN
aasedo01,"Don Aase",USA,675000,BAL
abadan01,"Andy Abad",USA,327000,CIN
abadfe01,"Fernando Abad",D.R.,1087500,HOU
abbotje01,"Jeff Abbott",USA,300000,CHA
abbotji01,"Jim Abbott",USA,2775000,CAL
abbotku01,"Kurt Abbott",USA,1000000,OAK
abbotky01,"Kyle Abbott",USA,150000,PHI
abbotpa01,"Paul Abbott",USA,3425000,MIN
abercre01,"Reggie Abercrombie",USA,327000,FLO
abernbr01,"Brent Abernathy",USA,300000,TBA
abnersh01,"Shawn Abner",USA,297500,SDN
abreubo01,"Bobby Abreu",Venezuela,16000000,HOU
abreujo02,"Jose Abreu",Cuba,8666000,CHA
abreuto01,"Tony Abreu",D.R.,745000,LAN
accarje01,"Jeremy Accardo",USA,1080000,SFN
aceveal01,"Alfredo Aceves",Mexico,2650000,NYA
acevejo01,"Jose Acevedo",D.R.,340000,CIN
aceveju01,"Juan Acevedo",Mexico,900000,COL
ackerji01,"Jim Acker",USA,700000,TOR
ackledu01,"Dustin Ackley",USA,2700000,SEA
acostma01,"Manny Acosta",Panama,875000,ATL
acrema01,"Mark Acre",USA,165000,OAK
adamsau01,"Austin Adams",USA,507700,CLE
adamsda02,"David Adams",USA,540000,NYA
adamsjo02,"Joel Adamson",USA,210000,ML4
adamsma01,"Matt Adams",USA,534000,SLN
adamsmi03,"Mike Adams",USA,7000000,MIL
adamsru01,"Russ Adams",USA,343000,TOR
adamste01,"Terry Adams",USA,2900000,CHN
adamswi02,"Willie Adams",USA,177000,OAK
adcocna01,"Nathan Adcock",USA,414000,KCA
adducji01,"Jim Adduci",USA,70000,ML4
adducji02,"Jim Adduci",CAN,501000,TEX
adenhni01,"Nick Adenhart",USA,400000,LAA
adkinjo01,"Jon Adkins",USA,301000,CHA
adriaeh01,"Ehire Adrianza",Venezuela,500500,SFN
afenitr01,"Troy Afenir",USA,130000,OAK
affelje01,"Jeremy Affeldt",USA,6000000,KCA
agbaybe01,"Benny Agbayani",USA,600000,NYN
agostju01,"Juan Agosto",P.R.,1666667,CHA
aguaylu01,"Luis Aguayo",P.R.,375000,PHI
aguilch01,"Chris Aguila",USA,327000,FLO
aguilri01,"Rick Aguilera",USA,4350000,NYN
ahmedni01,"Nick Ahmed",USA,508500,ARI
ainswku01,"Kurt Ainsworth",USA,322500,SFN
akerfda01,"Darrel Akerfelds",USA,165000,CLE
albaljo01,"Jonathan Albaladejo",P.R.,403075,NYA
alberjo01,"Jose Alberro",P.R.,109000,TEX
alberma01,"Matt Albers",USA,1750000,BAL
albural01,"Al Alburquerque",D.R.,1725000,DET
alcanar01,"Arismendy Alcantara",D.R.,510000,CHN
aldremi01,"Mike Aldrete",USA,510000,SFN
aldresc01,"Scott Aldred",USA,600000,DET
aldrico01,"Cory Aldridge",USA,200000,ATL
aldrija01,"Jay Aldrich",USA,62500,ML4
alexado01,"Doyle Alexander",USA,1000000,TOR
alexama02,"Manny Alexander",D.R.,612500,BAL
alfonan01,"Antonio Alfonseca",D.R.,4000000,FLO
alfoned01,"Edgardo Alfonzo",Venezuela,8000000,NYN
alfonel01,"Eliezer Alfonzo",Venezuela,382000,SFN
alicelu01,"Luis Alicea",P.R.,825000,SLN
allanan01,"Andy Allanson",USA,235000,CLE
allenbr01,"Brandon Allen",USA,482500,OAK
allench01,"Chad Allen",USA,380000,MIN
allenco01,"Cody Allen",USA,547100,CLE
allenje01,"Jermaine Allensworth",USA,284000,PIT
allenne01,"Neil Allen",USA,1250000,SLN
allrebe01,"Beau Allred",USA,102500,CLE
almanar01,"Armando Almanza",USA,775000,FLO
almanca01,"Carlos Almanzar",D.R.,1100000,TOR
almonbi01,"Bill Almon",USA,260000,PIT
almoner01,"Erick Almonte",D.R.,414000,MIL
almonzo01,"Zoilo Almonte",D.R.,511300,NYA
alomaro01,"Roberto Alomar",P.R.,8000000,SDN
alomasa02,"Sandy Alomar",P.R.,2900000,CLE
alonsyo01,"Yonder Alonso",Cuba,1650000,SDN
aloumo01,"Moises Alou",USA,9500000,PIT
alstoga01,"Garvin Alston",USA,152000,COL
altuvjo01,"Jose Altuve",Venezuela,2500000,HOU
alvarga01,"Gabe Alvarez",Mexico,170000,DET
alvarhe01,"Henderson Alvarez",Venezuela,4000000,TOR
alvarjo01,"Jose Alvarez",USA,125000,ATL
alvarjo02,"Jose Alvarez",Venezuela,509500,LAA
alvarpe01,"Pedro Alvarez",D.R.,5750000,PIT
alvarrj01,"R. J. Alvarez",USA,507500,OAK
